項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1654,特願2011-523178,特表2012-500428,"2009/08/13
2010/02/18
2014/03/07",印刷媒体ページの記事へのセグメント化,グーグル インコーポレイテッド,"G06F17/21,530@A 
G06F17/30,210@A 
G06F17/30,310@C 
他"
1655,特願2011-523056,特表2011-530771,"2009/08/07
2010/02/18
2013/08/30",メッセージを異なる順序で提示するための複数のビューポートを有するメッセージングアプリケーション,グーグル インコーポレイテッド,"G06F13/00,610@F"
1656,特願2008-195379,特開2010-033377,"2008/07/29
2010/02/12
2012/07/27",Ｗｅｂクエリに対する検索要求属性を自動推定する検索装置、検索方法及びプログラム,ヤフー株式会社,"G06F17/30,210@D 
G06F17/30,220@Z 
G06F17/30,340@B"
1657,特願2008-191994,特開2010-033142,"2008/07/25
2010/02/12
2012/07/20",未来表現判別装置及びプログラム,日本電信電話株式会社,"G06F17/27@M 
G06F17/27,615 
G06F17/27,685"
1658,特願2008-195408,特開2010-029482,"2008/07/29
2010/02/12
-",ＭＲＩを用いた脊椎・椎体病変の経過観察レポート自動作成診断支援システム,国立大学法人 筑波大学,"A61B5/05,390 
G06F17/60,126@K 
G06F17/60,126@Q 
他"
1659,特願2008-195358,特開2010-029481,"2008/07/29
2010/02/12
-",腫瘍の経過観察レポート自動作成診断支援システム,国立大学法人 筑波大学 他,"A61B5/00@D 
A61B5/00@G 
A61B5/05,380 
他"
1660,特願2008-190849,特開2010-026981,"2008/07/24
2010/02/04
2012/12/21",特定シーン学習システム及びプログラム,日本放送協会,"G06F17/30,170@D 
G06F17/30,180@B 
G06F17/30,220@A 
他"
1661,特願2008-187572,特開2010-026804,"2008/07/18
2010/02/04
-",画像処理装置、画像処理プログラム、および画像処理方法,オリンパス株式会社,"G06T1/00,340@A 
G06T7/00,150 
H04N5/232@Z 
他"
1662,特願2008-184353,特開2010-026017,"2008/07/16
2010/02/04
2013/07/12",画像表示方法、プログラム、及び、画像表示装置,株式会社ニコンシステム,"G06T1/00,500@A 
G06T7/00,300@F 
G09G5/22,630@M 
他"
1663,特願2008-183019,特開2010-020714,"2008/07/14
2010/01/28
2010/09/24",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06N3/00,550@C 
G10L11/00,201@D 
G10L11/00,402@Z 
他"
1664,特願2008-177847,特開2010-020388,"2008/07/08
2010/01/28
2011/05/13",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06F17/30,340@A 
G06N5/04,550@M 
G06N5/04"
1665,特願2009-158310,特開2010-015571,"2009/07/03
2010/01/21
2012/07/20",エッセイ中の過度の反復語使用の自動評価,エデュケーショナル テスティング サービス,"G06F17/21,550@A 
G06F17/27,640"
1666,特願2011-517049,特表2011-527556,"2009/05/06
2010/01/14
2014/07/25",車両にエネルギーチャージするためのアダプタ装置および方法,シーメンス アクチエンゲゼルシヤフト,"B60L11/18@C 
H02J7/00@P 
H02J7/02@B"
1667,特願2008-161356,特開2010-003117,"2008/06/20
2010/01/07
2012/11/09",対象物判定装置及びプログラム,株式会社豊田中央研究所 他,"G06T1/00,340@A 
G06T7/00,350@B 
G06T7/00,660@A"
1668,特願2008-161355,特開2010-003116,"2008/06/20
2010/01/07
2012/11/09",対象物判定装置及びプログラム,株式会社豊田中央研究所 他,"G06T1/00,340@A 
G06T7/00,350@C 
G06T7/00,660@A"
1669,特願2008-146751,特開2009-294836,"2008/06/04
2009/12/17
2012/02/10",Ｗｅｂ検索において選択的に擬似フィードバック処理を適用する検索処理装置、方法及びプログラム,ヤフー株式会社,"G06F17/30,180@Z 
G06F17/30,340@A"
1670,特願2011-512636,特表2011-524049,"2009/06/04
2009/12/10
-",超並列アクセラレータを使用して学習機械の訓練と分類とを並列化し高速化するシステム及び方法,エヌイーシー ラボラトリーズ アメリカ インク,"G06N3/00,560@Z 
G06T1/20@B 
G06N99/00,153 
他"
1671,特願2008-134888,特開2009-282795,"2008/05/23
2009/12/03
2013/09/20",情報の重要度推定システム及び方法及びプログラム,独立行政法人情報通信研究機構,"G06F17/28@Z 
G06F17/30,380@E 
G06N3/00,550@Z 
他"
1672,特願2008-133224,特開2009-282686,"2008/05/21
2009/12/03
-",分類モデル学習装置および分類モデル学習方法,株式会社東芝,"G06F17/30,180@B 
G06F17/30,210@D 
G06N5/04,550@N 
他"
1673,特願2008-128855,特開2009-277098,"2008/05/15
2009/11/26
-",イベント抽出装置及び方法及びプログラム及びコンピュータ読取可能な記録媒体,日本電信電話株式会社,"G06F13/00,560@A 
G06F17/60,132 
G06F19/00,130 
他"
1674,特願2011-509052,特表2011-520206,"2009/05/06
2009/11/19
2014/01/31",医療分析システム,コーニンクレッカ フィリップス エヌ ヴェ,"G06F17/60,126@G 
G06Q50/22,106 
G06Q50/22 
他"
1675,特願2008-113908,特開2009-265889,"2008/04/24
2009/11/12
2013/01/25",言語処理装置およびプログラム,日本放送協会,"G06F17/21,550@A 
G06F17/27@Z 
G06F17/28@U 
他"
1676,特願2008-097847,特開2009-251850,"2008/04/04
2009/10/29
-",類似画像検索を用いた商品推薦システム,株式会社ＡＬＢＥＲＴ,"G06F17/30,170@B 
G06F17/30,350@C 
G06F17/60,310@E 
他"
1677,特願2011-506389,特表2011-523730,"2009/04/21
2009/10/29
-",手持ち式機器のユーザを識別する方法およびシステム,パナソニック株式会社,"G06F3/01 
G06F3/033,310@Y 
G06F3/033,425 
他"
1678,特願2010-509012,再表2009/130785,"2008/04/25
2009/10/29
2012/10/05",問題解決時間推定処理プログラム，処理装置および処理方法,富士通株式会社,"G10L11/00,402@Z 
G10L25/51"
1679,特願2008-078641,特開2009-230704,"2008/03/25
2009/10/08
2012/06/29",オブジェクト検出方法、オブジェクト検出装置、およびオブジェクト検出プログラム,富士フイルム株式会社,"G06T1/00,340@A 
G06T7/00,300@B 
G06T7/00,300@F 
他"
1680,特願2008-078636,特開2009-230703,"2008/03/25
2009/10/08
2013/03/22",オブジェクト検出方法、オブジェクト検出装置、およびオブジェクト検出プログラム,富士フイルム株式会社,"G06T7/00,200@C 
G06T7/155"
1681,特願2008-074235,特開2009-229203,"2008/03/21
2009/10/08
2013/02/22",病理画像診断装置、病理画像診断方法及びプログラム,日本電気株式会社,"G01N33/48@P 
G01N33/48@Z 
G06T1/00,295 
他"
1682,特願2008-065256,特開2009-223463,"2008/03/14
2009/10/01
2012/09/28",同義性判定装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,550@A 
G06F17/21,550@K 
G06F17/27@Z 
他"
1683,特願2008-050615,特開2009-211138,"2008/02/29
2009/09/17
2012/04/06",対象領域抽出方法および装置ならびにプログラム,富士フイルム株式会社,"A61B6/03,360@J 
G06T1/00,290@B 
G06T3/00,400@A 
他"
1684,特願2008-054718,特開2009-210879,"2008/03/05
2009/09/17
-",処理単位分割装置、処理単位分割方法、及びプログラム,独立行政法人情報通信研究機構,"G10L15/00,200@C 
G10L15/02,300@K"
1685,特願2009-024455,特開2009-207886,"2009/02/05
2009/09/17
2014/02/28",椎骨中心検出装置および方法並びにプログラム,富士フイルム株式会社,"A61B5/05,380 
A61B6/00,330@Z 
A61B6/00,350@D 
他"
1686,特願2008-054627,特開2009-207727,"2008/03/05
2009/09/17
-",椎体位置決定装置および方法並びにプログラム,富士フイルム株式会社,"A61B6/03,360@D 
G06T1/00,290@B 
G06T7/00,612"
1687,特願2010-550748,特表2011-521203,"2009/02/27
2009/09/17
2014/07/11",ＣＯＰＤバイオマーカーシグネチャー,リニーゲン、インコーポレイテッド,"C12Q1/04 
G01N33/48@Z 
G01N33/53@D"
1688,特願2009-039398,特開2009-205678,"2009/02/23
2009/09/10
2013/01/11",高速化検索モデリングシステムおよび方法,ネイバー コーポレーション,"G06F17/30,130@Z 
G06F17/30,340@A 
G06F17/30,380@E"
1689,特願2010-548847,特表2011-514995,"2009/02/25
2009/09/03
2013/08/30",関心領域についての関連情報の決定,アティジオ リミテッド ライアビリティ カンパニー,"G06F17/30,220@Z 
G06F17/30,340@A 
G06F17/30,350@C 
他"
1690,特願2008-031989,特開2009-192312,"2008/02/13
2009/08/27
2012/09/21",発雷予測装置およびその方法、プログラム,日本電信電話株式会社,"G01W1/10@E 
G06F19/00,110"
1691,特願2008-031984,特開2009-192311,"2008/02/13
2009/08/27
2012/09/21",発雷予測装置およびその方法、プログラム,日本電信電話株式会社,"G01W1/10@E 
G06F19/00,100 
G06Q10/04"
1692,特願2009-017809,特開2009-181580,"2009/01/29
2009/08/13
-",仮想文脈情報を推薦に自動的に組み込む方法,パロ・アルト・リサーチ・センター・インコーポレーテッド,"G06F17/30,310@Z 
G06F17/30,340@A"
1693,特願2008-015603,特開2009-176169,"2008/01/25
2009/08/06
2012/12/07",辞書作成装置、辞書作成方法および辞書作成プログラム並びに辞書作成プログラムを記録した記録媒体,日本電信電話株式会社,"G06F17/27@K 
G06F17/27@L 
G06F17/28@U 
他"
1694,特願2008-015602,特開2009-176168,"2008/01/25
2009/08/06
2012/12/07",言語処理装置、言語処理方法および言語処理プログラム並びに言語処理プログラムを記録した記録媒体,日本電信電話株式会社,"G06F17/27@K 
G06F17/27@L 
G06F17/22,664 
他"
1695,特願2008-015339,特開2009-176148,"2008/01/25
2009/08/06
-",未知語判定システム、方法及びプログラム,日本電気株式会社,"G06F17/21,550@A 
G06F17/27@E 
G06F17/27,605"
1696,特願2008-014133,特開2009-176062,"2008/01/24
2009/08/06
2013/06/21",自然言語解析装置、自然言語解析方法および自然言語解析プログラム,ヤフー株式会社,"G06F17/21,550@A 
G06F17/27@E 
G06F17/27@L 
他"
1697,特願2007-326585,特開2009-151395,"2007/12/18
2009/07/09
2012/03/16",パターン識別器生成方法、情報処理装置、プログラム及び記憶媒体,キヤノン株式会社,"G06T7/00,350@B"
1698,特願2010-540687,特表2011-508340,"2008/11/10
2009/07/09
2013/09/27",層割り当ての品質の決定,マイクロソフト コーポレーション,"G06F17/30,130@A 
G06F17/30,414@A"
1699,特願2007-322635,特開2009-146158,"2007/12/13
2009/07/02
2012/01/06",文書分類装置の余分構造減退方法,ヤフー株式会社,"G06F17/30,170@A 
G06F17/30,210@D 
G06F17/30,414@A"
1700,特願2007-319813,特開2009-145968,"2007/12/11
2009/07/02
2011/08/26",広告配信装置、広告配信方法、広告配信プログラム及び広告入札方法,ヤフー株式会社,"G06F17/30,170@Z 
G06F17/30,210@D 
G06F17/30,220@Z 
他"
1701,特願2007-304958,特開2009-129279,"2007/11/26
2009/06/11
2012/05/18",機械学習装置及び機械学習方法,ヤフー株式会社,"G06F17/30,170@A 
G06F17/30,210@D 
G06N3/00,560@A 
他"
1702,特願2007-301813,特開2009-129087,"2007/11/21
2009/06/11
2011/07/15",商品情報分類装置、プログラム、商品情報分類方法,ヤフー株式会社,"G06F17/30,170@Z 
G06F17/30,210@A 
G06F17/30,210@D 
他"
1703,特願2009-544565,再表2009/072264,"2008/12/02
2009/06/11
2013/02/22",画像処理装置、撮影装置、再生装置、集積回路及び画像処理方法,パナソニック株式会社,"G06T7/20,100 
H04N5/232@Z 
H04N5/232 
他"
1704,特願2007-294648,特開2009-122851,"2007/11/13
2009/06/04
2012/11/30",データを分類する技術,インターナショナル・ビジネス・マシーンズ・コーポレーション,"G06F17/30,210@D 
G06N3/00,560@A 
G06N5/04,580@A 
他"
1705,特願2007-289915,特開2009-116680,"2007/11/07
2009/05/28
2013/01/11",データ種類検出装置及びデータ種類検出方法,独立行政法人情報通信研究機構,"G06F17/30,220@B 
G06N3/00,560@J 
G06N99/00,153 
他"
1706,特願2007-289613,特開2009-116662,"2007/11/07
2009/05/28
2013/03/29",質問応答装置、質問応答方法、及びプログラム,独立行政法人情報通信研究機構,"G06F17/30,180@A 
G06F17/30,210@D 
G06F17/30,330@C"
1707,特願2007-286269,特開2009-116456,"2007/11/02
2009/05/28
2012/10/05",データ処理装置及びデータ処理方法,独立行政法人情報通信研究機構,"G06F17/21,550@A 
G06F17/30,220@Z 
G06F17/30,380@E 
他"
1708,特願2007-285018,特開2009-110485,"2007/11/01
2009/05/21
-",情報処理システム、及びプログラム,コニカミノルタエムジー株式会社,"G06F17/21,501@Z 
G06F17/21,538@A 
G06F17/30,220@Z 
他"
1709,特願2007-281035,特開2009-110212,"2007/10/29
2009/05/21
-",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06N3/00,550@C 
G06N3/00,560@A 
G06T7/00,350@B 
他"
1710,特願2008-329482,特開2009-104630,"2008/12/25
2009/05/14
-",大規模な電子的なドキュメントのコレクション（集まり）を探索するためのドキュメント関連性の決定に対する機械学習アプローチ,マイクロソフト コーポレーション,"G06F17/30,170@A 
G06F17/30,210@D 
G06F17/30,340@B"
1711,特願2007-273418,特開2009-104275,"2007/10/22
2009/05/14
2009/10/23",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06F17/30,210@Z 
G06N3/00,550@C 
G06T7/00,350@D 
他"
1712,特願2007-273417,特開2009-104274,"2007/10/22
2009/05/14
2010/01/08",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06F17/30,210@Z 
G06N3/00,550@C 
G06T7/00,350@D 
他"
1713,特願2007-273416,特開2009-104273,"2007/10/22
2009/05/14
2009/10/23",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06F17/30,210@Z 
G06N3/00,550@C 
G06N3/12,160 
他"
1714,特願2007-270253,特開2009-098952,"2007/10/17
2009/05/07
2012/08/10",情報検索システム,三菱電機株式会社,"G06F17/21,550@A 
G06F17/30,170@A 
G06F17/30,210@D 
他"
1715,特願2007-268287,特開2009-098809,"2007/10/15
2009/05/07
-",技術文献分類システム,株式会社東芝 他,"G06F17/30,170@A 
G06F17/30,210@D 
G06F17/30,330@C"
1716,特願2008-105078,特開2009-095644,"2008/04/14
2009/05/07
2013/01/25",画像認識結果判定装置、方法、およびプログラム,富士フイルム株式会社,"A61B5/05,380 
A61B6/03,360@B 
G06T1/00,290@B 
他"
1717,特願2008-240657,特開2009-075110,"2008/09/19
2009/04/09
2012/12/28",プロセスパラメータを分散に関連づける分散関数を用いた構造のプロファイルパラメータの決定,東京エレクトロン株式会社,"G01N21/956@A 
H01L21/66@J"
1718,特願2008-149679,特開2009-070364,"2008/06/06
2009/04/02
2015/02/27",特別な動的モデル合成を備える推薦システム,パロ・アルト・リサーチ・センター・インコーポレーテッド,"G06F17/60,326 
G06Q30/02,150 
G06Q30/02,470"
1719,特願2007-237607,特開2009-066186,"2007/09/13
2009/04/02
-",脳活動状態推定方法および情報処理システム,ソニー株式会社,"A61B5/14,322 
A61B10/00@E 
G01N21/35@Z 
他"
1720,特願2010-527085,特表2010-541077,"2008/09/23
2009/04/02
-",同期データおよびメタデータの交換,マイクロソフト コーポレーション,"G06F12/00,533@J"
1721,特願2007-224686,特開2009-058671,"2007/08/30
2009/03/19
-",処理単位分割装置、処理単位分割方法、プログラム、及びデータ構造,独立行政法人情報通信研究機構,"G06F17/27@E 
G06F17/28@V 
G10L15/00,200@C 
他"
1722,特願2007-227195,特開2009-057337,"2007/08/31
2009/03/19
-",メタボロームデータの解析方法および代謝関与マーカー,大日本住友製薬株式会社 他,"C40B30/02 
G06F19/00,600 
G06F19/00,624 
他"
1723,特願2007-211477,特開2009-048266,"2007/08/14
2009/03/05
2009/10/23",情報処理装置、情報処理方法、演算装置、演算方法、プログラム、および記録媒体,ソニー株式会社,"G06N3/00,550@C 
G06N3/12,160 
G06N99/00,180"
1724,特願2010-519568,特表2010-535574,"2008/08/07
2009/02/12
-",動脈のナンディパルス波形の定量的検出に有用な非侵襲装置「ナンディ・トラジーニ」,カウンシル オブ サイエンティフィック アンド インダストリアル リサーチ,"A61B5/02,320@Z 
A61B5/02,321@C 
A61B5/02,710@Z 
他"
